urban_rural,accident_count,avg_severity,high_severity_count,avg_poi_count,high_severity_prop
Rural,5136246,2.2205361659079412,1023873,0.3448100032591897,0.19934267167109987
Urban,2050545,2.2178059979176266,443074,0.6155592781431278,0.2160762138846014
